model,suite,task_id,episode_id,task_description,perturbation,clean_success,corrupt_success,clean_ratio,corrupt_ratio,clean_iou,corrupt_iou,delta_success,delta_visual_ratio,delta_iou,vci,gri,delta_ratio_early,delta_iou_early,delta_ratio_mid,delta_iou_mid,delta_ratio_late,delta_iou_late,delta_ratio_slope,delta_iou_slope
DreamZero,libero_90_act,3,1,pick up the tomato sauce and put it in the basket,random,0.0,0.0,0.5749120369993078,0.5803375063991939,,,0.0,0.005425469399886085,,0.005425469399886085,,0.005624751402350525,,0.004368937261311268,,0.006282719535996573,,0.0006579681336460474,
DreamZero,libero_90_act,3,1,pick up the tomato sauce and put it in the basket,synonym,0.0,1.0,0.5749120369993078,0.5431363571683541,,,1.0,-0.03177567983095375,,-0.03177567983095375,,-0.0237949291061742,,-0.03694873665178333,,-0.034442171965860635,,-0.010647242859686434,
DreamZero,libero_90_act,3,1,pick up the tomato sauce and put it in the basket,shuffle,0.0,0.0,0.5749120369993078,0.5626424393491269,,,0.0,-0.012269597650180875,,-0.012269597650180875,,-0.0189212265900216,,-0.009799678952801538,,-0.008087887407719707,,0.010833339182301893,
DreamZero,libero_90_act,3,1,pick up the tomato sauce and put it in the basket,opposite,0.0,1.0,0.5749120369993078,0.5559564240346495,,,1.0,-0.018955612964658308,,-0.018955612964658308,,-0.0018954470810472746,,-0.028893129472859824,,-0.026736788900183384,,-0.02484134181913611,
DreamZero,libero_90_act,4,0,close the top drawer of the cabinet,empty,0.0,0.0,0.5718626727550143,0.5729808285860519,,,0.0,0.0011181558310375816,,0.0011181558310375816,,-0.006788281914354988,,0.0052839977798242455,,0.004507246720934943,,0.011295528635289931,
DreamZero,libero_90_act,4,0,close the top drawer of the cabinet,random,0.0,0.0,0.5718626727550143,0.5765999278906385,,,0.0,0.004737255135624174,,0.004737255135624174,,0.009601766445324178,,-0.015191065045302654,,0.019449559100142344,,0.009847792654818166,
DreamZero,libero_90_act,4,0,close the top drawer of the cabinet,synonym,0.0,0.0,0.5718626727550143,0.5581649295416146,,,0.0,-0.013697743213399782,,-0.013697743213399782,,-0.00846336786149171,,-0.018605779149287405,,-0.014766479545689104,,-0.006303111684197393,
DreamZero,libero_90_act,4,0,close the top drawer of the cabinet,shuffle,0.0,0.0,0.5718626727550143,0.5639178029869887,,,0.0,-0.007944869768025664,,-0.007944869768025664,,-0.0002372757645792145,,-0.017376333512451603,,-0.007052634937461222,,-0.006815359172882007,
DreamZero,libero_90_act,4,0,close the top drawer of the cabinet,opposite,0.0,0.0,0.5718626727550143,0.5713508550310276,,,0.0,-0.0005118177239867849,,-0.0005118177239867849,,0.008371504967951138,,-0.008443639431206629,,-0.0021559415831571282,,-0.010527446551108266,
DreamZero,libero_90_act,4,1,close the top drawer of the cabinet,empty,0.0,0.0,0.5558782973478191,0.576345982097716,,,0.0,0.02046768474989691,,0.02046768474989691,,0.011243963303821491,,0.017519830173275186,,0.03312630669528349,,0.021882343391462,
DreamZero,libero_90_act,4,1,close the top drawer of the cabinet,random,0.0,0.0,0.5558782973478191,0.5782183667516397,,,0.0,0.022340069403820606,,0.022340069403820606,,0.007983084302005783,,0.031775691882287904,,0.029166728512179718,,0.021183644210173935,
DreamZero,libero_90_act,4,1,close the top drawer of the cabinet,synonym,0.0,0.0,0.5558782973478191,0.54625164158448,,,0.0,-0.009626655763339098,,-0.009626655763339098,,-0.011018588888444203,,-0.02107309114370881,,0.004816508805320252,,0.015835097693764455,
DreamZero,libero_90_act,4,1,close the top drawer of the cabinet,shuffle,0.0,0.0,0.5558782973478191,0.5632248085261875,,,0.0,0.007346511178368376,,0.007346511178368376,,0.006569148465649155,,0.01117202301064224,,0.004835648251013791,,-0.001733500214635364,
DreamZero,libero_90_act,4,1,close the top drawer of the cabinet,opposite,0.0,0.0,0.5558782973478191,0.5679156793857609,,,0.0,0.012037382037941802,,0.012037382037941802,,-0.0009627152591085153,,0.018478109289297384,,0.020508866652821256,,0.02147158191192977,
DreamZero,libero_90_act,5,0,open the bottom drawer of the cabinet,empty,1.0,0.0,0.54666477172131,0.5787084517386908,,,-1.0,0.03204368001738078,,0.03204368001738078,,0.04071464845622186,,0.025578905197377044,,0.030577750282086313,,-0.010136898174135545,
DreamZero,libero_90_act,5,0,open the bottom drawer of the cabinet,random,1.0,1.0,0.54666477172131,0.5545519196717447,,,0.0,0.007887147950434659,,0.007887147950434659,,0.02044797420643507,,0.002681653563174846,,0.0009088930808263118,,-0.01953908112560876,
