model,suite,prompt_mode,task_id,episode_id,prompt_used,success,ratio_mean,iou_mean,sources
DreamZero,libero_90_act,synonym,4,0,,0.0,0.5581649295416146,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_synonym/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,empty,4,1,,0.0,0.576345982097716,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_empty/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,opposite,4,1,,0.0,0.5679156793857609,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_opposite/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,original,4,1,,0.0,0.5558782973478191,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/none/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_object_shift_x0.05_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_random_action_p0.25_s1.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_15deg_translate_x0.1_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_30deg/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_translate_x0.2_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,random,4,1,,0.0,0.5782183667516397,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_random/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,shuffle,4,1,,0.0,0.5632248085261875,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_shuffle/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,synonym,4,1,,0.0,0.54625164158448,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_synonym/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,empty,5,0,,0.0,0.5787084517386908,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_empty/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,opposite,5,0,,0.0,0.5759872262518788,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_opposite/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,original,5,0,,1.0,0.54666477172131,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/none/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_object_shift_x0.05_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_random_action_p0.25_s1.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_15deg_translate_x0.1_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_30deg/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_translate_x0.2_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
